House for sale in Le Plateau-Mont-Royal (Montréal) - $1349000,4319 Rue  Boyer Le Plateau-Mont-Royal (Montr&#233;al) Neighbourhood Le Plateau-Mont-Royal,9 Rooms  4+0 Bedrooms  3+0 Bathrooms/Powder rooms  ,1349000,45.526245,-73.576987,Two or more storey Detached,1905,1200 sqft,,Basement 6 feet or +
Condo for sale in Rosemont/La Petite-Patrie (Montréal) - $466188 +GST/QST,1831 Rue  Saint-Zotique Est apt. 304 Rosemont/La Petite-Patrie (Montr&#233;al) Neighbourhood La Petite-Patrie,6 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,466188,45.54497022,-73.60013698,Divided,Under construction New,,,
Condo for sale in Rosemont/La Petite-Patrie (Montréal) - $349900,5497 Avenue  Charlemagne Rosemont/La Petite-Patrie (Montr&#233;al) Neighbourhood Old Rosemont,5 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,349900,45.558416,-73.570714,Undivided,2014,,,
Condo for sale in Montréal-Nord (Montréal) - $239000,6900 boulevard  Gouin Est apt. 1205 Montr&#233;al-Nord (Montr&#233;al),5 Rooms  1+0 Bedroom  1+1 Bathrooms/Powder rooms  ,239000,45.62727062,-73.62019034,Divided,1982,1075 sqft,Garage (1),Adapted for reduced mobility Elevator
House for sale in Dollard-Des Ormeaux - $575000,25 Rue  Mclynn Dollard-Des Ormeaux Neighbourhood East,10 Rooms  3+1 Bedrooms  2+1 Bathrooms/Powder rooms  ,575000,45.49151,-73.791346,Split-level Detached,1970,6197 sqft,Driveway (4) Garage (2),
Condo for sale in Mercier/Hochelaga-Maisonneuve (Montréal) - $250900 +GST/QST,3950 Rue  Sherbrooke Est apt. 412 Mercier/Hochelaga-Maisonneuve (Montr&#233;al) Neighbourhood Hochelaga-Maisonneuve,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,250900,45.552434,-73.554784,Divided,To be built New,,,Elevator
Condo for sale in Ville-Marie (Montréal) - $1975000,3467 Rue  Simpson apt. B Ville-Marie (Montr&#233;al) Neighbourhood Golden Square Mile,7 Rooms  3+0 Bedrooms  2+1 Bathrooms/Powder rooms  ,1975000,45.49835,-73.583058,Divided,1900,,Driveway (1) Garage (1),
House for sale in Outremont (Montréal) - $1689000,702 Avenue  Hartland Outremont (Montr&#233;al),11 Rooms  3+1 Bedrooms  3+1 Bathrooms/Powder rooms  ,1689000,45.51437461,-73.61665703,Two or more storey Semi-detached,1921,3750 sqft,Driveway (2) Garage (1),Basement 6 feet or +
Condo for sale in Ville-Marie (Montréal) - $775000,260 Rue  Sherbrooke Est apt. 225 Ville-Marie (Montr&#233;al) Neighbourhood Central,10 Rooms  2+1 Bedrooms  1+1 Bathrooms/Powder rooms  ,775000,45.51529136,-73.56767419,Divided,1900 Century,1810 sqft,Garage (1),Elevator
Condo for sale in Le Sud-Ouest (Montréal) - $253175 +GST/QST,431 Rue  Saint-Martin apt. 301 Le Sud-Ouest (Montr&#233;al) Neighbourhood Griffintown,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,253175,45.488294,-73.567984,Divided,To be built New,533 sqft,,
House for sale in Pierrefonds-Roxboro (Montréal) - $799000,20752 boulevard  Gouin Ouest Pierrefonds-Roxboro (Montr&#233;al) Neighbourhood Pierrefonds/West,13 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,799000,45.457228,-73.929559,Two or more storey Detached,1834 Century,45964 sqft,Driveway (15),Basement 6 feet or +
Condo for sale in Mont-Royal - $899000,145 Chemin  Bates apt. 504 Mont-Royal,12 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,899000,45.51648825,-73.62799978,Divided,2014,1582 sqft,Garage (2),
Condo for sale in Ville-Marie (Montréal) - $419900,822 Rue  Sherbrooke Est apt. 405 Ville-Marie (Montr&#233;al) Neighbourhood Central,8 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,419900,45.519473,-73.566685,Divided,2011,789 sqft,,
House for sale in Saint-Laurent (Montréal) - $1075000,2253 Rue du Chinook Saint-Laurent (Montr&#233;al) Neighbourhood New Saint-Laurent/Bois-Franc,14 Rooms  5+0 Bedrooms  3+1 Bathrooms/Powder rooms  ,1075000,45.51389399,-73.71358254,Two or more storey Attached,2013,1857 sqft,Garage (2),Basement 6 feet or +
Condo for sale in Le Plateau-Mont-Royal (Montréal) - $264000,4183 Avenue des &#201;rables Le Plateau-Mont-Royal (Montr&#233;al) Neighbourhood Le Plateau-Mont-Royal,6 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,264000,45.53330717,-73.56650281,Divided,1900,657 sqft,,
Condo for sale in Le Sud-Ouest (Montréal) - $279000,190 Rue  Murray apt. 320 Le Sud-Ouest (Montr&#233;al) Neighbourhood Griffintown,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,279000,45.4925138,-73.55906239,Divided,2015,404 sqft,,
Condo for sale in Ville-Marie (Montréal) - $948000,3940 Chemin de la C&#244;te-des-Neiges apt. D11 Ville-Marie (Montr&#233;al) Neighbourhood Central West,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,948000,45.49511518,-73.5945613,Undivided,1929,1468 sqft,Garage (1),
Condo for sale in Ahuntsic-Cartierville (Montréal) - $379000,9615 Avenue  Papineau apt. 121 Ahuntsic-Cartierville (Montr&#233;al) Neighbourhood Ahuntsic East,10 Rooms  3+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,379000,45.56533041,-73.64563926,Divided,2014,1309 sqft,,Elevator
House for sale in Pierrefonds-Roxboro (Montréal) - $369000,5100 Rue  Beamish Pierrefonds-Roxboro (Montr&#233;al) Neighbourhood Pierrefonds/Central East,9 Rooms  3+2 Bedrooms  2+0 Bathrooms/Powder rooms  ,369000,45.501245,-73.84824,Bungalow Detached,1976,7559 sqft,Driveway (4),Basement 6 feet or +
House for sale in Ahuntsic-Cartierville (Montréal) - $959000,7660 boulevard  Gouin Ouest Ahuntsic-Cartierville (Montr&#233;al) Neighbourhood Bois de Saraguay,14 Rooms  4+1 Bedrooms  3+1 Bathrooms/Powder rooms  ,959000,45.523977,-73.736383,Two or more storey Detached,1965,8171 sqft,Driveway (3) Garage (1),Basement 6 feet or +
House for sale in Dollard-Des Ormeaux - $399000,25 Rue  Joseph-Paiement Dollard-Des Ormeaux Neighbourhood Central,13 Rooms  4+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,399000,45.504944,-73.82028,Split-level Detached,1961,6200 sqft,Driveway (2) Garage (1),Basement 6 feet or +
Condo for sale in Le Plateau-Mont-Royal (Montréal) - $475000,3535 Avenue  Papineau apt. 906 Le Plateau-Mont-Royal (Montr&#233;al) Neighbourhood Le Plateau-Mont-Royal,6 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,475000,45.52871,-73.565554,Divided,1971,1478 sqft,Garage (1),Elevator
House for sale in Ville-Marie (Montréal) - $3600000,1035 Rue  Lambert-Closse Ville-Marie (Montr&#233;al) Neighbourhood Central West,16 Rooms  3+1 Bedrooms  3+2 Bathrooms/Powder rooms  ,3600000,45.48807978,-73.58097346,Two or more storey Semi-detached,1895 Century,2717 sqft,Garage (2),Basement 6 feet or +
House for sale in Rivière-des-Prairies/Pointe-aux-Trembles (Montréal) - $339000,12211 64e Avenue (R.-d.-P.) Rivi&#232;re-des-Prairies/Pointe-aux-Trembles (Montr&#233;al) Neighbourhood Rivi&#232;re-des-Prairies,10 Rooms  2+2 Bedrooms  2+0 Bathrooms/Powder rooms  ,339000,45.655541,-73.560713,Bungalow Detached,1984,3471 sqft,Driveway (1) Garage (1),Basement 6 feet or +
House for sale in Rivière-des-Prairies/Pointe-aux-Trembles (Montréal) - $339900,12085 87e Avenue Rivi&#232;re-des-Prairies/Pointe-aux-Trembles (Montr&#233;al) Neighbourhood Rivi&#232;re-des-Prairies,10 Rooms  3+1 Bedrooms  2+0 Bathrooms/Powder rooms  ,339900,45.664727,-73.536328,Bungalow Detached,1959,8084 sqft,Driveway (2) Garage (1),
